"Código","Item de Estoque","Descrição Grupo","Compõe Produto","Unidade","Fichas","Quantidade","Custo Médio","Subtotal/C.M."
"460","TAMPA COPO 354ML LISA","DESCARTAVEIS","false","UN","0","0,0000","0,3100","0,0000"
"461","CANUDO PARA SMOOTHIES","DESCARTAVEIS","true","UN","0","110,0000","0,1764","19,4040"
"310","LUVA DESCARTAVEL TRANSPARENTE","DESCARTAVEIS","false","UN","0","1.200,0000","0,0297","35,6400"
"314","PLASTICO FILME 28 X 300","DESCARTAVEIS","false","UN","0","1,0000","53,9900","53,9900"
"315","SACO LIXO 100 L","MATERIAL LIMPEZA / HIGIENE","false","UN","0","200,0000","0,7973","159,4600"
"312","PAPEL TOALHA PARA DISPENSER","MATERIAL LIMPEZA / HIGIENE","false","UN","0","2.000,0000","0,0252","50,4000"
"298","DETERGENTE NEUTRO LIQUIDO","MATERIAL LIMPEZA / HIGIENE","false","LT","0","10,0000","8,6040","86,0400"
"299","AGUA SANITARIA","MATERIAL LIMPEZA / HIGIENE","false","LT","0","5,0000","6,8900","34,4500"
"301","ALCOOL","MATERIAL LIMPEZA / HIGIENE","false","UN","0","6,0000","6,5750","39,4500"
"302","DETERGENTE EM PO - CAFIZA","MATERIAL LIMPEZA / HIGIENE","false","UN","0","1,0000","282,0000","282,0000"
"304","PERFLEX","MATERIAL LIMPEZA / HIGIENE","false","UN","0","2.400,0000","0,1483","355,9200"
"305","ESPONJA LAVA LOUCA","MATERIAL LIMPEZA / HIGIENE","false","UN","0","15,0000","1,9900","29,8500"
"408","FIBRACO","MATERIAL LIMPEZA / HIGIENE","false","PC","0","22,0000","2,8560","62,8320"
"868","DETERGENTE MAQUINA LAVAR LOUCA","MATERIAL LIMPEZA / HIGIENE","false","LT","0","30,0000","47,4200","1.422,6000"
"872","PAPEL TOALHA ROLO C/100 FOLHAS 19 X 22CM","MATERIAL LIMPEZA / HIGIENE","false","UN","0","7,0000","2,9250","20,4750"
"940","PALHA DE AÇO/BOMBRIL","MATERIAL LIMPEZA / HIGIENE","false","UN","0","0,0000","3,6900","0,0000"
"1018","LUVA DE BORRACHA","MATERIAL LIMPEZA / HIGIENE","false","UN","0","0,0000","7,9000","0,0000"
"1266","LIMPA PEDRAS","MATERIAL LIMPEZA / HIGIENE","false","LT","0","0,0000","6,9000","0,0000"
"1303","OLEO PEROBA","MATERIAL LIMPEZA / HIGIENE","false","LT","0","1,0000","99,9500","99,9500"
"1304","HIPOCLORITO SODIO 12% - LEGUMES E FRUTAS","MATERIAL LIMPEZA / HIGIENE","false","LT","0","0,0000","5,2220","0,0000"
"1264","ASSADEIRA 34 X 41","UTENSILIOS","false","UN","0","3,0000","45,3200","135,9600"
"1267","FREEZER HORIZONTAL","UTENSILIOS","false","UN","0","3,0000","2.400,0000","7.200,0000"
"1269","MACARICO","UTENSILIOS","false","UN","0","5,0000","17,7400","88,7000"
"1248","TABUA P/ SERVIR PIZZA","UTENSILIOS","false","UN","0","10,0000","93,5500","935,5000"
"1249","TABUA P/ SERVIR CAFE","UTENSILIOS","false","UN","0","59,0000","65,7200","3.877,4800"
"1250","PORTA SACHE EM MADEIRA","UTENSILIOS","false","UN","0","20,0000","16,2100","324,2000"
"1235","ASSADEIRA ESTAMPADA PERFURADA 35X35","UTENSILIOS","false","UN","0","7,0000","45,3200","317,2400"
"1291","SIFAO RETORNAVEL C/ VALVULA(VASILHAME)","UTENSILIOS","false","UN","0","5,0000","0,0000","0,0000"
"1292","PANELINHA FRIGIDEIRA SERVIR","UTENSILIOS","false","UN","0","12,0000","14,0700","168,8400"
"1295","CHEMEX PASSADOR DE CAFE - 6 XICARAS","UTENSILIOS","true","UN","0","0,0000","0,0000","0,0000"
"1296","FILTRO CHEMEX CIRC.6 XICARA  C/100 U.INT","UTENSILIOS","true","UN","0","0,0000","0,0000","0,0000"
"1297","ESPATULA RETA COZINHA","UTENSILIOS","false","UN","0","3,0000","64,9400","194,8200"
"1311","MOEDOR DE CONDIMENTOS","UTENSILIOS","false","UN","0","4,0000","29,9000","119,6000"
"1129","PULVERIZADOR C/BOMBA 500ML","UTENSILIOS","false","UN","0","4,0000","0,0000","0,0000"
"1078","BANDEJAS ESCORREDORAS","UTENSILIOS","false","UN","0","3,0000","466,9500","1.400,8500"
"1146","TABUA P/SERVIR LANCHE","UTENSILIOS","false","UN","0","14,0000","58,6200","820,6800"
"1147","PENEIRA DE ACO PQNA","UTENSILIOS","false","UN","0","3,0000","0,0000","0,0000"
"1170","CANECA PADRAO 270ML","UTENSILIOS","true","UN","0","0,0000","11,3900","0,0000"
