"Código","Item de Estoque","Descrição Grupo","Compõe Produto","Unidade","Fichas","Quantidade","Custo Médio","Subtotal/C.M."
"124","PAO DE QUEIJO COQUETEL 15G","PAES","true","UN","0","698,0000","0,4509","314,7282"
"862","CROISSANT SIMPLES AUTHENTIQUE 70G","PAES","true","UN","0","95,0000","4,7924","455,2780"
"1002","PASTA P/ ESCRITORIO","MATERIAIS P/ ESCRITÓRIO","false","UN","0","0,0000","3,0000","0,0000"
"1003","CANETA MARCA TEXTO","MATERIAIS P/ ESCRITÓRIO","false","UN","0","0,0000","8,5100","0,0000"
"875","BOBINA TÉRMICA","MATERIAIS P/ ESCRITÓRIO","false","UN","0","60,0000","4,3893","263,3580"
"1289","GRAMPO PARA GRAMPEADOR","MATERIAIS P/ ESCRITÓRIO","false","CX","0","6,0000","6,6000","39,6000"
"1091","ESPETO DE PAPEL","MATERIAIS P/ ESCRITÓRIO","false","UN","0","3,0000","19,9900","59,9700"
"1092","REGUA","MATERIAIS P/ ESCRITÓRIO","false","UN","0","0,0000","5,0000","0,0000"
"1088","LIXEIRA INOX PEDAL","MATERIAIS P/ ESCRITÓRIO","false","UN","0","2,0000","400,0000","800,0000"
"1083","EXTRATOR DE GRAMPO","MATERIAIS P/ ESCRITÓRIO","false","UN","0","1,0000","5,6000","5,6000"
"268","CALCULADORA","MATERIAIS P/ ESCRITÓRIO","false","UN","0","2,0000","23,0000","46,0000"
"269","GRAMPEADOR","MATERIAIS P/ ESCRITÓRIO","false","UN","0","1,0000","20,0000","20,0000"
"338","IMPRESSORA TERMICA","MATERIAIS P/ ESCRITÓRIO","false","UN","0","3,0000","350,0000","1.050,0000"
"1144","BONE AMERICANO PRETO","BOLSAS E MOCHILAS","true","UN","0","0,0000","52,1200","0,0000"
"1171","SACOLA ECO","BOLSAS E MOCHILAS","true","UN","0","6,0000","16,9000","101,4000"
